Time,CLINTON_WT_PWR,CHATEAUG_WT_PWR,ELLENBURG_WT_PWR,JERICHO_RISE_WT_PWR,NORTH___COUNTRY_ESR,CHATEAUG_35_KV_LOAD,CHAT_HIGH_FALL_HYD,NEG NORTH_KES_CHATEGAY,NEG NORTH___ALICE_FALLS,NEG NORTH___LWR_SARANAC,NEG NORTH___PLATTSBURG,CLINTON___LFGE,KNTFSRNC_46_KV_46KV_LOAD,FALCON___SEABRD_CC1,FALCON___SEABRD_CC2,V_CMP_10_SYNC_DSASP,V_XM_10_SYNC_DSASP,MARBLE_RIVER_WT_PWR,ALTONA_WT_PWR,PLATSBRG_115KV_PMLD1,NEG NORTH_FLCN_SEA,MAPLE_RIDGE_WT_2,ROARING___BROOK_WT_PWR,MAPLE_RIDGE_WT_1,CH_RES_BVR_FALLS,V_CMM_10_SYNC_DSASP,AKWESSNE_115KV_BK,ST LAWRENCE____,ALCOA___DSASP,ALCOA_RYNLDS___DRP,ALCOA_PA_115KV_PL-6C,SITHE___MASSENA,HQ_GEN_CEDARS_PROXY,HQ_GEN_CEDARS,LAWRNCAV_115KV_TB1,BRADY____115KV_TB2,PYRITES___HYD,MCINTYRE_115KV_TB2,SITHE___OGDNSBRG,LITTLRIV_115KV_TB1,SISSONVILLE____,LOWER RAQUET___HYD,MID___RAQUETTE_HYD,PIERCEFIELD___HYD,UPPER RAQUET___HYD,NM_ST_REGIS___HYD,FRANKLIN_FALL_HYD,MALONE___115KV_TB1,N SALMON___HYD,HAMPSHIRE___PAPER_HYD
2023-09-01 00:00:00,22.87,22.87,22.87,22.8,22.8,22.88,22.88,22.88,23.11,23.11,23.11,23.11,23.11,23.12,23.12,23.11,23.11,22.86,22.98,23.11,23.12,22.79,22.79,22.79,22.67,22.64,22.66,22.55,22.72,22.72,22.72,22.72,22.65,22.65,22.26,22.78,22.68,22.81,22.8,22.52,22.14,22.14,22.14,22.14,22.14,22.33,22.81,22.81,22.81,22.5
2023-09-01 01:00:00,20.28,20.28,20.28,20.22,20.22,20.29,20.29,20.29,20.48,20.48,20.48,20.48,20.48,20.5,20.5,20.48,20.48,20.27,20.37,20.48,20.5,20.2,20.2,20.2,20.11,20.11,20.13,20.03,20.25,20.25,20.25,20.25,20.24,20.24,19.87,20.3,20.19,20.32,20.31,20.07,19.75,19.75,19.75,19.75,19.75,19.89,20.25,20.25,20.25,19.99
2023-09-01 02:00:00,20.24,20.24,20.24,20.18,20.18,20.24,20.24,20.24,20.44,20.44,20.44,20.44,20.44,20.47,20.47,20.45,20.45,20.22,20.33,20.45,20.47,20.14,20.14,20.14,20.04,20.04,20.06,19.96,20.18,20.18,20.18,20.18,20.17,20.17,19.79,20.22,20.09,20.23,20.23,19.98,19.67,19.67,19.67,19.67,19.67,19.82,20.18,20.18,20.18,19.89
2023-09-01 03:00:00,19.43,19.43,19.43,19.36,19.36,19.42,19.42,19.42,19.64,19.64,19.64,19.64,19.64,19.67,19.67,19.65,19.65,19.42,19.53,19.65,19.67,19.32,19.32,19.32,19.23,19.21,19.23,19.14,19.35,19.35,19.35,19.35,19.34,19.34,18.97,19.38,19.25,19.38,19.38,19.15,18.85,18.85,18.85,18.85,18.85,19.0,19.36,19.36,19.36,19.04
2023-09-01 04:00:00,19.79,19.79,19.79,19.72,19.72,19.78,19.78,19.78,20.01,20.01,20.01,20.01,20.01,20.04,20.04,20.03,20.03,19.78,19.9,20.03,20.04,19.67,19.67,19.67,19.58,19.56,19.58,19.48,19.7,19.7,19.7,19.7,19.69,19.69,19.34,19.74,19.63,19.75,19.75,19.52,19.22,19.23,19.22,19.22,19.23,19.36,19.72,19.72,19.72,19.43
2023-09-01 05:00:00,22.73,22.73,22.73,22.66,22.66,22.73,22.73,22.73,22.97,22.97,22.97,22.97,22.97,23.0,23.0,22.98,22.98,22.72,22.85,22.98,23.0,22.61,22.61,22.61,22.5,22.48,22.49,22.38,22.64,22.64,22.64,22.64,22.63,22.63,22.23,22.71,22.59,22.73,22.72,22.46,22.1,22.1,22.1,22.1,22.1,22.26,22.68,22.68,22.68,22.34
2023-09-01 06:00:00,24.28,24.28,24.28,24.2,24.2,24.28,24.28,24.28,24.56,24.56,24.56,24.56,24.56,24.58,24.58,24.56,24.56,24.27,24.42,24.56,24.58,24.13,24.13,24.13,24.0,23.96,23.99,23.86,24.05,24.05,24.05,24.05,23.98,23.98,23.59,24.14,24.01,24.16,24.15,23.86,23.46,23.46,23.46,23.46,23.46,23.68,24.21,24.21,24.21,23.84
2023-09-01 07:00:00,23.25,23.25,23.25,23.16,23.16,23.23,23.24,23.23,23.56,23.56,23.56,23.56,23.56,23.58,23.58,23.56,23.56,23.25,23.41,23.56,23.58,22.98,22.98,22.98,22.89,22.87,22.89,22.77,22.93,22.93,22.93,22.92,22.86,22.87,22.48,22.98,22.82,23.0,22.99,22.7,22.36,22.36,22.36,22.36,22.36,22.59,23.16,23.16,23.16,22.68
2023-09-01 08:00:00,19.9,19.9,19.9,19.84,19.84,19.89,19.89,19.89,20.15,20.15,20.15,20.15,20.15,20.17,20.17,20.15,20.15,19.9,20.03,20.15,20.17,19.67,19.67,19.67,19.58,19.56,19.58,19.48,19.61,19.61,19.61,19.6,19.55,19.55,19.22,19.61,19.46,19.58,19.6,19.36,19.11,19.11,19.11,19.11,19.11,19.31,19.82,19.82,19.82,19.39
2023-09-01 09:00:00,18.58,18.58,18.58,18.53,18.53,18.57,18.57,18.57,18.78,18.78,18.78,18.78,18.78,18.79,18.79,18.78,18.78,18.58,18.68,18.78,18.79,18.39,18.39,18.39,18.3,18.28,18.3,18.2,18.31,18.31,18.31,18.31,18.26,18.26,17.93,18.27,18.1,18.22,18.23,18.03,17.82,17.82,17.82,17.82,17.82,18.01,18.5,18.5,18.51,18.07
