Name;Lat;Long;Subzone;Note
CLINTON_WT_PWR;44.890926;-73.985407;NYPA NORTH;
CHATEAUG_WT_PWR;44.890926;-73.985407;NYPA NORTH;
ELLENBURG_WT_PWR;44.890926;-73.985407;NYPA NORTH;
JERICHO_RISE_WT_PWR;44.889084;-74.118278;NYPA NORTH;
NORTH___COUNTRY_ESR;;;NYPA NORTH;Coordinates not given
CHAT_HIGH_FALL_HYD;44.89345;-74.073266;NYSEG NORTH;
CHATEAUG_35_KV_LOAD;;;NYNO;Transmission node
NEG NORTH_KES_CHATEGAY;44.89345;-74.073266;NYSEG NORTH;
KNTFSRNC_46_KV_46KV_LOAD;;;NYNO;Transmission node
CLINTON___LFGE;44.703599;-73.59581;NYSEG NORTH;
NEG NORTH___ALICE_FALLS;44.703599;-73.59581;NYSEG NORTH;
NEG NORTH___LWR_SARANAC;44.703599;-73.59581;NYSEG NORTH;
NEG NORTH___PLATTSBURG;44.703599;-73.59581;NYSEG NORTH;
PLATSBRG_115KV_PMLD1;;;PANO;Transmission node
NEG NORTH_FLCN_SEA;44.709583;-73.454129;NYSEG NORTH;
MARBLE_RIVER_WT_PWR;44.891996;-73.942841;NYPA NORTH;
V_CMP_10_SYNC_DSASP;;;NYPA NORTH;Coordinates not given
ALTONA_WT_PWR;44.831624;-73.636424;NYPA NORTH;
FALCON___SEABRD_CC1;44.709583;-73.454129;NYSEG NORTH;
FALCON___SEABRD_CC2;44.709583;-73.454129;NYSEG NORTH;
V_XM_10_SYNC_DSASP;;;NYPA NORTH;Coordinates not given
