hey,time
1720809642.6780500,1609460201541064000
1720809642.6888600,1609460201548834000
1720809642.6944400,1609460201556515000
1720809642.7010300,1609460201564248000
1720809642.7087900,1609460201571976000
1720809642.7179000,1609460201579761000
1720809642.7242600,1609460201587409000
1720809642.7319700,1609460201595114000
1720809642.7396800,1609460201602881000
1720809642.7474400,1609460201610642000
1720809642.7551400,1609460201618286000
1720809642.762830,1609460201625987000
1720809642.77127,1609460201633685000
1720809642.7784300,1609460201641513000
1720809642.7862400,1609460201649435000
1720809642.7941600,1609460201657334000
1720809642.8020300,1609460201665242000
1720809642.80986,1609460201673063000
1720809642.8176200,1609460201680833000
1720809642.825610,1609460201688580000
1720809642.833210,1609460201696320000
1720809642.8416900,1609460201704111000
1720809642.8486100,1609460201711794000
1720809642.8563000,1609460201719480000
1720809642.8643700,1609460201727200000
1720809642.8722600,1609460201734948000
1720809642.8794100,1609460201742619000
1720809642.8871900,1609460201750380000
1720809642.895070,1609460201758130000
1720809642.9033800,1609460201765890000
1720809642.9103900,1609460201773555000
1720809642.918070,1609460201781269000
1720809642.9257600,1609460201788939000
1720809642.9334200,1609460201796630000
1720809642.9426300,1609460201804269000
1720809642.9487600,1609460201812009000
1720809642.956590,1609460201819742000
1720809642.9643000,1609460201827507000
1720809642.9721300,1609460201835184000
1720809642.9797000,1609460201842901000
1720809642.9874900,1609460201850667000
1720809642.9959500,1609460201858543000
1720809643.003150,1609460201866335000
1720809643.011410,1609460201874215000
1720809643.0188300,1609460201882038000
1720809643.0266500,1609460201889844000
1720809643.0346200,1609460201897600000
1720809643.042200,1609460201905385000
1720809643.0499200,1609460201913129000
1720809643.0577600,1609460201920884000
1720809643.0658900,1609460201928578000
1720809643.0732800,1609460201936245000
1720809643.081170,1609460201943895000
1720809643.0885600,1609460201951592000
1720809643.0985500,1609460201959234000
1720809643.1042400,1609460201966910000
1720809643.1115600,1609460201974563000
1720809643.1196000,1609460201982254000
1720809643.1268900,1609460201989891000
1720809643.1345700,1609460201997565000
1720809643.1422600,1609460202005277000
1720809643.150040,1609460202013018000
1720809643.157730,1609460202020685000
1720809643.1654700,1609460202028414000
1720809643.173830,1609460202036180000
1720809643.1813200,1609460202043968000
1720809643.1888900,1609460202051674000
1720809643.1995100,1609460202059439000
1720809643.204330,1609460202067161000
1720809643.2124500,1609460202074927000
1720809643.2197300,1609460202082568000
1720809643.2275500,1609460202090257000
1720809643.2351300,1609460202097888000
1720809643.2426900,1609460202105516000
1720809643.253260,1609460202113123000
1720809643.2580500,1609460202120796000
1720809643.2657600,1609460202128508000
1720809643.2736000,1609460202136262000
1720809643.2811200,1609460202143936000
1720809643.2896400,1609460202151632000
1720809643.2965600,1609460202159342000
1720809643.3042700,1609460202167064000
1720809643.3119100,1609460202174677000
1720809643.319560,1609460202182371000
1720809643.3273000,1609460202190079000
1720809643.3350500,1609460202197863000
1720809643.342770,1609460202205549000
1720809643.3538700,1609460202213304000
1720809643.3583500,1609460202221098000
1720809643.3661900,1609460202228954000
1720809643.374730,1609460202236710000
1720809643.3816700,1609460202244459000
1720809643.389410,1609460202252235000
1720809643.3971800,1609460202260005000
1720809643.4059700,1609460202267681000
1720809643.4128600,1609460202275419000
1720809643.4203600,1609460202283163000
1720809643.4282400,1609460202290893000
1720809643.4361900,1609460202298514000
1720809643.4438600,1609460202306189000
1720809643.451590,1609460202313843000
1720809643.4592700,1609460202321523000
1720809643.4663800,1609460202329130000
1720809643.4741000,1609460202336841000
1720809643.4819800,1609460202344576000
1720809643.4895000,1609460202352385000
1720809643.4972400,1609460202360153000
1720809643.511580,1609460202367929000
1720809643.513200,1609460202375934000
1720809643.5206400,1609460202383471000
1720809643.528200,1609460202391130000
1720809643.5359000,1609460202398844000
1720809643.5436900,1609460202406554000
1720809643.5514900,1609460202414296000
1720809643.5590500,1609460202421945000
1720809643.566810,1609460202429613000
1720809643.5746100,1609460202437332000
1720809643.582330,1609460202445098000
1720809643.5899000,1609460202452739000
1720809643.5976700,1609460202460477000
1720809643.605760,1609460202468237000
1720809643.613240,1609460202475987000
1720809643.621140,1609460202483653000
1720809643.628740,1609460202491318000
1720809643.636290,1609460202498952000
1720809643.643810,1609460202506596000
1720809643.6513900,1609460202514154000
1720809643.6607400,1609460202521737000
1720809643.66656,1609460202529351000
1720809643.674630,1609460202537042000
1720809643.6819400,1609460202544679000
1720809643.6895100,1609460202552331000
1720809643.6971900,1609460202560027000
1720809643.704940,1609460202567765000
1720809643.7131000,1609460202575424000
1720809643.720570,1609460202583174000
1720809643.728170,1609460202590887000
1720809643.7359500,1609460202598639000
1720809643.7447500,1609460202606292000
1720809643.751190,1609460202614012000
1720809643.75905,1609460202621779000
1720809643.7667100,1609460202629527000
1720809643.7755400,1609460202637234000
1720809643.7821700,1609460202644957000
1720809643.7909200,1609460202652685000
1720809643.7976000,1609460202660418000
1720809643.8052700,1609460202668053000
1720809643.815610,1609460202675701000
1720809643.8205200,1609460202683384000
1720809643.8283500,1609460202691116000
1720809643.8359300,1609460202698708000
1720809643.8469100,1609460202706329000
1720809643.851440,1609460202714022000
1720809643.85948,1609460202721685000
1720809643.8665400,1609460202729281000
1720809643.874220,1609460202736919000
1720809643.8824000,1609460202744647000
1720809643.88981,1609460202752381000
1720809643.8973100,1609460202760065000
1720809643.9050100,1609460202767807000
1720809643.9126900,1609460202775534000
1720809643.9204500,1609460202783288000
1720809643.9281900,1609460202790980000
1720809643.9361800,1609460202798639000
1720809643.9443000,1609460202806258000
1720809643.9520700,1609460202813861000
1720809643.9587800,1609460202821405000
1720809643.9794100,1609460202828986000
1720809643.9801300,1609460202836539000
1720809643.982130,1609460202844122000
1720809643.989510,1609460202851762000
1720809643.9968300,1609460202859451000
1720809644.0043700,1609460202867098000
1720809644.012060,1609460202874753000
1720809644.0204200,1609460202882355000
1720809644.0272500,1609460202890020000
1720809644.034890,1609460202897729000
1720809644.0426200,1609460202905442000
1720809644.0502700,1609460202913076000
1720809644.05815,1609460202920769000
1720809644.0656000,1609460202928399000
1720809644.0734200,1609460202936161000
1720809644.0811200,1609460202943908000
1720809644.0887700,1609460202951601000
1720809644.0964600,1609460202959276000
1720809644.1042100,1609460202967036000
1720809644.1123900,1609460202974734000
1720809644.12245,1609460202982443000
1720809644.1273600,1609460202990088000
1720809644.135020,1609460202997760000
1720809644.143130,1609460203005381000
1720809644.1502500,1609460203013005000
1720809644.1585200,1609460203020657000
1720809644.1657000,1609460203028365000
1720809644.1736300,1609460203035964000
1720809644.1809100,1609460203043579000
1720809644.1887600,1609460203051276000
1720809644.1962100,1609460203058952000
1720809644.2038500,1609460203066549000
1720809644.2115100,1609460203074264000
1720809644.2191600,1609460203081925000
1720809644.2268700,1609460203089603000
1720809644.2345000,1609460203097246000
1720809644.2422700,1609460203104928000
1720809644.250110,1609460203112746000
1720809644.2576100,1609460203120298000
1720809644.2652000,1609460203127893000
1720809644.2742500,1609460203135495000
1720809644.280430,1609460203143108000
1720809644.2881300,1609460203150742000
1720809644.2957500,1609460203158288000
1720809644.303180,1609460203165906000
1720809644.3107300,1609460203173504000
1720809644.3184300,1609460203181158000
1720809644.327930,1609460203188697000
1720809644.3339700,1609460203196333000
1720809644.342310,1609460203203977000
1720809644.3488600,1609460203211648000
1720809644.3564500,1609460203219212000
1720809644.3641900,1609460203226833000
1720809644.372020,1609460203234474000
1720809644.3794500,1609460203242149000
1720809644.3869000,1609460203249735000
1720809644.3948400,1609460203257364000
1720809644.4022000,1609460203264974000
1720809644.4097200,1609460203272605000
1720809644.417750,1609460203280186000
1720809644.4249800,1609460203287842000
1720809644.4329800,1609460203295501000
1720809644.4404000,1609460203303166000
1720809644.447910,1609460203310776000
1720809644.4577900,1609460203318443000
1720809644.464960,1609460203326106000
1720809644.4711000,1609460203333768000
1720809644.4804900,1609460203341396000
1720809644.4861700,1609460203349022000
1720809644.494050,1609460203356644000
1720809644.5013800,1609460203364251000
1720809644.5089900,1609460203371803000
1720809644.5165700,1609460203379398000
1720809644.5243600,1609460203386965000
1720809644.5324500,1609460203394558000
1720809644.539210,1609460203402109000
1720809644.5471800,1609460203409716000
1720809644.5544200,1609460203417319000
1720809644.5622100,1609460203424945000
1720809644.569890,1609460203432508000
1720809644.5774300,1609460203440102000
1720809644.5849900,1609460203447738000
1720809644.5926100,1609460203455376000
1720809644.600200,1609460203462952000
1720809644.6078300,1609460203470555000
1720809644.615450,1609460203478167000
1720809644.6230400,1609460203485806000
1720809644.6331700,1609460203493362000
1720809644.638320,1609460203500911000
1720809644.645830,1609460203508417000
1720809644.6540000,1609460203515981000
1720809644.6607700,1609460203523448000
1720809644.6682700,1609460203530953000
1720809644.6760900,1609460203538503000
1720809644.6856700,1609460203546097000
1720809644.6907700,1609460203553629000
1720809644.6985200,1609460203561255000
1720809644.7059700,1609460203568842000
1720809644.713610,1609460203576467000
1720809644.7211200,1609460203584025000
1720809644.7287900,1609460203591658000
1720809644.7370900,1609460203599259000
1720809644.7440000,1609460203606866000
1720809644.7515200,1609460203614391000
1720809644.759200,1609460203621918000
1720809644.7666900,1609460203629454000
1720809644.7744300,1609460203637042000
1720809644.7818700,1609460203644504000
1720809644.7893500,1609460203652069000
1720809644.7969100,1609460203659651000
1720809644.8050400,1609460203667268000
1720809644.8125000,1609460203674771000
1720809644.8196100,1609460203682333000
1720809644.8271300,1609460203689862000
1720809644.8347000,1609460203697429000
1720809644.8422200,1609460203704952000
1720809644.8497100,1609460203712500000
1720809644.8572600,1609460203719993000
1720809644.8648500,1609460203727600000
1720809644.8725500,1609460203735167000
1720809644.882030,1609460203742714000
1720809644.8893400,1609460203750297000
1720809644.895100,1609460203757964000
1720809644.9038800,1609460203765468000
1720809644.9105300,1609460203773035000
1720809644.9180100,1609460203780603000
1720809644.926910,1609460203788181000
1720809644.9328300,1609460203795671000
1720809644.9419500,1609460203803196000
1720809644.9483400,1609460203810684000
1720809644.9552800,1609460203818122000
1720809644.9626900,1609460203825503000
1720809644.9730400,1609460203832921000
1720809644.9777200,1609460203840392000
1720809644.9873700,1609460203847873000
1720809644.9952000,1609460203855279000
1720809645.000000,1609460203862778000
1720809645.0089000,1609460203870241000
1720809645.0153400,1609460203877719000
1720809645.0224600,1609460203885160000
1720809645.0308100,1609460203892628000
1720809645.037370,1609460203900120000
1720809645.04487,1609460203907639000
1720809645.0527600,1609460203915060000
1720809645.0599100,1609460203922578000
1720809645.0673700,1609460203930075000
1720809645.074980,1609460203937616000
1720809645.0823300,1609460203945067000
1720809645.089890,1609460203952547000
1720809645.0972500,1609460203960102000
1720809645.1047800,1609460203967671000
1720809645.1139700,1609460203975176000
1720809645.1201100,1609460203982771000
1720809645.1274300,1609460203990329000
1720809645.1349700,1609460203997877000
1720809645.1450600,1609460204005455000
1720809645.1501600,1609460204013062000
1720809645.1576300,1609460204020554000
1720809645.1652900,1609460204028165000
1720809645.1738800,1609460204035703000
1720809645.180560,1609460204043237000
1720809645.187940,1609460204050749000
1720809645.197110,1609460204058325000
1720809645.2030600,1609460204065811000
1720809645.2105800,1609460204073370000
1720809645.218130,1609460204080922000
1720809645.2256500,1609460204088466000
1720809645.2331700,1609460204096003000
1720809645.242500,1609460204103568000
1720809645.2491400,1609460204111106000
1720809645.2558700,1609460204118674000
1720809645.2645700,1609460204126117000
1720809645.270790,1609460204133551000
1720809645.279020,1609460204141075000
1720809645.2861800,1609460204148591000
1720809645.2931900,1609460204155999000
1720809645.3007600,1609460204163508000
1720809645.308190,1609460204170972000
1720809645.3155900,1609460204178427000
1720809645.323080,1609460204185893000
1720809645.3327100,1609460204193436000
1720809645.338230,1609460204201009000
1720809645.3552200,1609460204208542000
1720809645.3559300,1609460204216026000
1720809645.3607900,1609460204223595000
1720809645.369980,1609460204231132000
1720809645.3760600,1609460204238702000
1720809645.3836500,1609460204246209000
1720809645.39095,1609460204253795000
1720809645.400200,1609460204261408000
1720809645.424220,1609460204269072000
1720809645.4249700,1609460204276559000
1720809645.4256100,1609460204284082000
1720809645.4406400,1609460204291660000
1720809645.4413300,1609460204299189000
1720809645.4442800,1609460204306724000
1720809645.455110,1609460204314227000
1720809645.4590600,1609460204321852000
1720809645.4669300,1609460204329345000
1720809645.4761600,1609460204336794000
1720809645.48181,1609460204344349000
1720809645.4893900,1609460204351927000
1720809645.4967800,1609460204359537000
1720809645.5046000,1609460204367117000
1720809645.5119700,1609460204374630000
1720809645.5195200,1609460204382151000
1720809645.5270900,1609460204389714000
1720809645.534860,1609460204397249000
1720809645.5422000,1609460204404761000
1720809645.5495100,1609460204412282000
1720809645.5573400,1609460204419847000
1720809645.564580,1609460204427322000
1720809645.5722100,1609460204434830000
1720809645.5796400,1609460204442338000
1720809645.5873300,1609460204449905000
1720809645.5950500,1609460204457409000
1720809645.602330,1609460204464929000
1720809645.610580,1609460204472419000
1720809645.617120,1609460204479909000
1720809645.624510,1609460204487319000
1720809645.6322900,1609460204494750000
1720809645.6405800,1609460204502258000
1720809645.6471100,1609460204509808000
1720809645.6571300,1609460204517251000
1720809645.6621800,1609460204524762000
1720809645.6694800,1609460204532241000
1720809645.6771900,1609460204539863000
1720809645.684760,1609460204547410000
1720809645.6929100,1609460204554928000
1720809645.699670,1609460204562437000
1720809645.7093400,1609460204570015000
1720809645.714940,1609460204577484000
1720809645.7223600,1609460204584985000
1720809645.7297700,1609460204592527000
1720809645.737370,1609460204600134000
1720809645.7451000,1609460204607662000
1720809645.7525300,1609460204615272000
1720809645.7622900,1609460204622843000
1720809645.7676600,1609460204630392000
1720809645.7751500,1609460204637904000
1720809645.7828400,1609460204645426000
1720809645.790290,1609460204652934000
1720809645.7976900,1609460204660417000
1720809645.8051200,1609460204667843000
1720809645.812550,1609460204675294000
1720809645.819950,1609460204682741000
1720809645.827450,1609460204690216000
1720809645.8348500,1609460204697619000
1720809645.8423400,1609460204705051000
1720809645.849910,1609460204712625000
1720809645.8572000,1609460204719968000
1720809645.8647100,1609460204727408000
1720809645.8721600,1609460204734838000
1720809645.8795300,1609460204742294000
1720809645.887080,1609460204749844000
1720809645.8945600,1609460204757295000
1720809645.9020600,1609460204764756000
1720809645.9093800,1609460204772195000
1720809645.916930,1609460204779700000
1720809645.9243700,1609460204787154000
1720809645.931830,1609460204794625000
1720809645.9522600,1609460204802111000
1720809645.9529500,1609460204809634000
1720809645.9541100,1609460204817805000
1720809645.9643700,1609460204824606000
1720809645.9694500,1609460204832126000
1720809645.977000,1609460204839695000
1720809645.984430,1609460204847143000
1720809645.99194,1609460204854665000
1720809645.9993600,1609460204862141000
1720809646.0077000,1609460204869612000
1720809646.0190800,1609460204877036000
1720809646.0222500,1609460204884690000
1720809646.0291400,1609460204891965000
1720809646.036670,1609460204899495000
1720809646.0441900,1609460204906935000
1720809646.0516300,1609460204914414000
1720809646.0591100,1609460204921888000
1720809646.068430,1609460204929418000
1720809646.0740500,1609460204936859000
1720809646.0817000,1609460204944358000
1720809646.089180,1609460204951885000
1720809646.0966800,1609460204959417000
1720809646.1040900,1609460204966871000
1720809646.111650,1609460204974387000
1720809646.1189800,1609460204981816000
1720809646.1273600,1609460204989279000
1720809646.133910,1609460204996695000
1720809646.141330,1609460205004151000
1720809646.1487900,1609460205011547000
1720809646.15617,1609460205018974000
1720809646.164180,1609460205026338000
1720809646.1711800,1609460205033750000
1720809646.1784000,1609460205041155000
1720809646.1858800,1609460205048601000
1720809646.1932400,1609460205055962000
1720809646.2005600,1609460205063401000
1720809646.208030,1609460205070845000
1720809646.2155600,1609460205078366000
1720809646.2230200,1609460205085817000
1720809646.2304200,1609460205093254000
1720809646.238270,1609460205100684000
1720809646.2453500,1609460205108147000
1720809646.2527600,1609460205115582000
1720809646.2607600,1609460205123023000
1720809646.2676600,1609460205130415000
1720809646.275070,1609460205137876000
1720809646.2825700,1609460205145338000
1720809646.290060,1609460205152789000
1720809646.2981200,1609460205160219000
1720809646.3049500,1609460205167737000
1720809646.312390,1609460205175194000
1720809646.32506,1609460205182675000
1720809646.326760,1609460205190062000
1720809646.3346300,1609460205197449000
1720809646.3421200,1609460205204833000
1720809646.3494000,1609460205212222000
1720809646.3567600,1609460205219590000
1720809646.3643000,1609460205227064000
1720809646.3739600,1609460205234454000
1720809646.3790100,1609460205241869000
1720809646.3865800,1609460205249284000
1720809646.3939300,1609460205256690000
1720809646.4012400,1609460205264046000
1720809646.4086300,1609460205271440000
1720809646.416000,1609460205278808000
1720809646.4253500,1609460205286243000
1720809646.430810,1609460205293632000
1720809646.4382400,1609460205301068000
